hall_up,hall_down,car_calls,people_in,people_out,total_stops,maint_events,total_demand,traffic_state_id,traffic_state
0,5,4,9,7,9,0,9,1,Idle Period
0,5,5,9,6,14,0,10,1,Idle Period
1,0,1,1,1,1,0,2,1,Idle Period
1,2,3,2,2,5,0,6,1,Idle Period
0,2,1,2,1,3,0,3,1,Idle Period
2,1,3,5,6,7,0,6,1,Idle Period
0,4,3,6,6,10,0,7,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,1,1,1,1,3,0,2,1,Idle Period
1,0,1,1,0,1,0,2,1,Idle Period
0,0,0,0,2,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
3,0,3,4,0,0,0,6,1,Idle Period
0,1,1,3,5,5,0,2,1,Idle Period
0,1,1,2,2,2,0,2,1,Idle Period
0,2,2,2,1,3,0,4,1,Idle Period
1,0,1,1,3,2,0,2,1,Idle Period
0,1,1,1,1,2,0,2,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
3,0,3,2,1,3,0,6,1,Idle Period
0,1,1,2,0,1,0,2,1,Idle Period
0,1,1,0,2,2,0,2,1,Idle Period
0,1,1,3,4,3,0,2,1,Idle Period
0,1,1,1,1,2,0,2,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,1,1,1,0,2,0,2,1,Idle Period
0,0,0,0,1,1,0,0,1,Idle Period
0,1,1,2,2,3,0,2,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
1,0,1,1,1,1,0,2,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,2,2,5,4,4,0,4,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
0,0,0,0,0,0,0,0,1,Idle Period
