Time,hall_up,hall_down,car_calls,people_in,people_out,total_stops,maint_events,hour,minute,day_of_week,day_name,is_weekend,total_demand
2025/11/1 0:00,0,5,4,9,7,9,0,0,0,5,Saturday,TRUE,9
2025/11/1 0:05,0,5,5,9,6,14,0,0,5,5,Saturday,TRUE,10
2025/11/1 0:10,1,0,1,1,1,1,0,0,10,5,Saturday,TRUE,2
2025/11/1 0:15,1,2,3,2,2,5,0,0,15,5,Saturday,TRUE,6
2025/11/1 0:20,0,2,1,2,1,3,0,0,20,5,Saturday,TRUE,3
2025/11/1 0:25,2,1,3,5,6,7,0,0,25,5,Saturday,TRUE,6
2025/11/1 0:30,0,4,3,6,6,10,0,0,30,5,Saturday,TRUE,7
2025/11/1 0:35,0,0,0,0,0,0,0,0,35,5,Saturday,TRUE,0
2025/11/1 0:40,0,1,1,1,1,3,0,0,40,5,Saturday,TRUE,2
2025/11/1 0:45,1,0,1,1,0,1,0,0,45,5,Saturday,TRUE,2
2025/11/1 0:50,0,0,0,0,2,0,0,0,50,5,Saturday,TRUE,0
2025/11/1 0:55,0,0,0,0,0,0,0,0,55,5,Saturday,TRUE,0
2025/11/1 1:00,0,0,0,0,0,0,0,1,0,5,Saturday,TRUE,0
2025/11/1 1:05,3,0,3,4,0,0,0,1,5,5,Saturday,TRUE,6
2025/11/1 1:10,0,1,1,3,5,5,0,1,10,5,Saturday,TRUE,2
2025/11/1 1:15,0,1,1,2,2,2,0,1,15,5,Saturday,TRUE,2
2025/11/1 1:20,0,2,2,2,1,3,0,1,20,5,Saturday,TRUE,4
2025/11/1 1:25,1,0,1,1,3,2,0,1,25,5,Saturday,TRUE,2
2025/11/1 1:30,0,1,1,1,1,2,0,1,30,5,Saturday,TRUE,2
2025/11/1 1:35,0,0,0,0,0,0,0,1,35,5,Saturday,TRUE,0
2025/11/1 1:40,0,0,0,0,0,0,0,1,40,5,Saturday,TRUE,0
2025/11/1 1:45,0,0,0,0,0,0,0,1,45,5,Saturday,TRUE,0
2025/11/1 1:50,3,0,3,2,1,3,0,1,50,5,Saturday,TRUE,6
2025/11/1 1:55,0,1,1,2,0,1,0,1,55,5,Saturday,TRUE,2
2025/11/1 2:00,0,1,1,0,2,2,0,2,0,5,Saturday,TRUE,2
2025/11/1 2:05,0,1,1,3,4,3,0,2,5,5,Saturday,TRUE,2
2025/11/1 2:10,0,1,1,1,1,2,0,2,10,5,Saturday,TRUE,2
2025/11/1 2:15,0,0,0,0,0,0,0,2,15,5,Saturday,TRUE,0
2025/11/1 2:20,0,0,0,0,0,0,0,2,20,5,Saturday,TRUE,0
2025/11/1 2:25,0,0,0,0,0,0,0,2,25,5,Saturday,TRUE,0
2025/11/1 2:30,0,1,1,1,0,2,0,2,30,5,Saturday,TRUE,2
2025/11/1 2:35,0,0,0,0,1,1,0,2,35,5,Saturday,TRUE,0
2025/11/1 2:40,0,1,1,2,2,3,0,2,40,5,Saturday,TRUE,2
2025/11/1 2:45,0,0,0,0,0,0,0,2,45,5,Saturday,TRUE,0
2025/11/1 2:50,1,0,1,1,1,1,0,2,50,5,Saturday,TRUE,2
2025/11/1 2:55,0,0,0,0,0,0,0,2,55,5,Saturday,TRUE,0
2025/11/1 3:00,0,0,0,0,0,0,0,3,0,5,Saturday,TRUE,0
2025/11/1 3:05,0,0,0,0,0,0,0,3,5,5,Saturday,TRUE,0
2025/11/1 3:10,0,0,0,0,0,0,0,3,10,5,Saturday,TRUE,0
2025/11/1 3:15,0,0,0,0,0,0,0,3,15,5,Saturday,TRUE,0
2025/11/1 3:20,0,0,0,0,0,0,0,3,20,5,Saturday,TRUE,0
2025/11/1 3:25,0,2,2,5,4,4,0,3,25,5,Saturday,TRUE,4
2025/11/1 3:30,0,0,0,0,0,0,0,3,30,5,Saturday,TRUE,0
2025/11/1 3:35,0,0,0,0,0,0,0,3,35,5,Saturday,TRUE,0
2025/11/1 3:40,0,0,0,0,0,0,0,3,40,5,Saturday,TRUE,0
2025/11/1 3:45,0,0,0,0,0,0,0,3,45,5,Saturday,TRUE,0
2025/11/1 3:50,0,0,0,0,0,0,0,3,50,5,Saturday,TRUE,0
2025/11/1 3:55,0,0,0,0,0,0,0,3,55,5,Saturday,TRUE,0
2025/11/1 4:00,0,0,0,0,0,0,0,4,0,5,Saturday,TRUE,0
