Time,hall_up,hall_down,car_calls,people_in,people_out,total_stops,maint_events,hour,minute,day_of_week,day_name,is_weekend,total_demand,traffic_state_id,traffic_state
2025-11-01 00:00:00,0,5,4,9,7,9,0,0,0,5,Saturday,True,9,1,Idle Period
2025-11-01 00:05:00,0,5,5,9,6,14,0,0,5,5,Saturday,True,10,1,Idle Period
2025-11-01 00:10:00,1,0,1,1,1,1,0,0,10,5,Saturday,True,2,1,Idle Period
2025-11-01 00:15:00,1,2,3,2,2,5,0,0,15,5,Saturday,True,6,1,Idle Period
2025-11-01 00:20:00,0,2,1,2,1,3,0,0,20,5,Saturday,True,3,1,Idle Period
2025-11-01 00:25:00,2,1,3,5,6,7,0,0,25,5,Saturday,True,6,1,Idle Period
2025-11-01 00:30:00,0,4,3,6,6,10,0,0,30,5,Saturday,True,7,1,Idle Period
2025-11-01 00:35:00,0,0,0,0,0,0,0,0,35,5,Saturday,True,0,1,Idle Period
2025-11-01 00:40:00,0,1,1,1,1,3,0,0,40,5,Saturday,True,2,1,Idle Period
2025-11-01 00:45:00,1,0,1,1,0,1,0,0,45,5,Saturday,True,2,1,Idle Period
2025-11-01 00:50:00,0,0,0,0,2,0,0,0,50,5,Saturday,True,0,1,Idle Period
2025-11-01 00:55:00,0,0,0,0,0,0,0,0,55,5,Saturday,True,0,1,Idle Period
2025-11-01 01:00:00,0,0,0,0,0,0,0,1,0,5,Saturday,True,0,1,Idle Period
2025-11-01 01:05:00,3,0,3,4,0,0,0,1,5,5,Saturday,True,6,1,Idle Period
2025-11-01 01:10:00,0,1,1,3,5,5,0,1,10,5,Saturday,True,2,1,Idle Period
2025-11-01 01:15:00,0,1,1,2,2,2,0,1,15,5,Saturday,True,2,1,Idle Period
2025-11-01 01:20:00,0,2,2,2,1,3,0,1,20,5,Saturday,True,4,1,Idle Period
2025-11-01 01:25:00,1,0,1,1,3,2,0,1,25,5,Saturday,True,2,1,Idle Period
2025-11-01 01:30:00,0,1,1,1,1,2,0,1,30,5,Saturday,True,2,1,Idle Period
2025-11-01 01:35:00,0,0,0,0,0,0,0,1,35,5,Saturday,True,0,1,Idle Period
2025-11-01 01:40:00,0,0,0,0,0,0,0,1,40,5,Saturday,True,0,1,Idle Period
2025-11-01 01:45:00,0,0,0,0,0,0,0,1,45,5,Saturday,True,0,1,Idle Period
2025-11-01 01:50:00,3,0,3,2,1,3,0,1,50,5,Saturday,True,6,1,Idle Period
2025-11-01 01:55:00,0,1,1,2,0,1,0,1,55,5,Saturday,True,2,1,Idle Period
2025-11-01 02:00:00,0,1,1,0,2,2,0,2,0,5,Saturday,True,2,1,Idle Period
2025-11-01 02:05:00,0,1,1,3,4,3,0,2,5,5,Saturday,True,2,1,Idle Period
2025-11-01 02:10:00,0,1,1,1,1,2,0,2,10,5,Saturday,True,2,1,Idle Period
2025-11-01 02:15:00,0,0,0,0,0,0,0,2,15,5,Saturday,True,0,1,Idle Period
2025-11-01 02:20:00,0,0,0,0,0,0,0,2,20,5,Saturday,True,0,1,Idle Period
2025-11-01 02:25:00,0,0,0,0,0,0,0,2,25,5,Saturday,True,0,1,Idle Period
2025-11-01 02:30:00,0,1,1,1,0,2,0,2,30,5,Saturday,True,2,1,Idle Period
2025-11-01 02:35:00,0,0,0,0,1,1,0,2,35,5,Saturday,True,0,1,Idle Period
2025-11-01 02:40:00,0,1,1,2,2,3,0,2,40,5,Saturday,True,2,1,Idle Period
2025-11-01 02:45:00,0,0,0,0,0,0,0,2,45,5,Saturday,True,0,1,Idle Period
2025-11-01 02:50:00,1,0,1,1,1,1,0,2,50,5,Saturday,True,2,1,Idle Period
2025-11-01 02:55:00,0,0,0,0,0,0,0,2,55,5,Saturday,True,0,1,Idle Period
2025-11-01 03:00:00,0,0,0,0,0,0,0,3,0,5,Saturday,True,0,1,Idle Period
2025-11-01 03:05:00,0,0,0,0,0,0,0,3,5,5,Saturday,True,0,1,Idle Period
2025-11-01 03:10:00,0,0,0,0,0,0,0,3,10,5,Saturday,True,0,1,Idle Period
2025-11-01 03:15:00,0,0,0,0,0,0,0,3,15,5,Saturday,True,0,1,Idle Period
2025-11-01 03:20:00,0,0,0,0,0,0,0,3,20,5,Saturday,True,0,1,Idle Period
2025-11-01 03:25:00,0,2,2,5,4,4,0,3,25,5,Saturday,True,4,1,Idle Period
2025-11-01 03:30:00,0,0,0,0,0,0,0,3,30,5,Saturday,True,0,1,Idle Period
2025-11-01 03:35:00,0,0,0,0,0,0,0,3,35,5,Saturday,True,0,1,Idle Period
2025-11-01 03:40:00,0,0,0,0,0,0,0,3,40,5,Saturday,True,0,1,Idle Period
2025-11-01 03:45:00,0,0,0,0,0,0,0,3,45,5,Saturday,True,0,1,Idle Period
2025-11-01 03:50:00,0,0,0,0,0,0,0,3,50,5,Saturday,True,0,1,Idle Period
2025-11-01 03:55:00,0,0,0,0,0,0,0,3,55,5,Saturday,True,0,1,Idle Period
2025-11-01 04:00:00,0,0,0,0,0,0,0,4,0,5,Saturday,True,0,1,Idle Period
2025-11-01 04:05:00,0,0,0,0,0,0,0,4,5,5,Saturday,True,0,1,Idle Period
2025-11-01 04:10:00,0,0,0,0,0,0,0,4,10,5,Saturday,True,0,1,Idle Period
2025-11-01 04:15:00,0,0,0,0,0,0,0,4,15,5,Saturday,True,0,1,Idle Period
2025-11-01 04:20:00,0,0,0,0,0,0,0,4,20,5,Saturday,True,0,1,Idle Period
2025-11-01 04:25:00,0,0,0,0,0,0,0,4,25,5,Saturday,True,0,1,Idle Period
2025-11-01 04:30:00,0,0,0,0,0,0,0,4,30,5,Saturday,True,0,1,Idle Period
2025-11-01 04:35:00,0,0,0,0,0,0,0,4,35,5,Saturday,True,0,1,Idle Period
2025-11-01 04:40:00,0,0,0,0,0,0,0,4,40,5,Saturday,True,0,1,Idle Period
2025-11-01 04:45:00,0,0,0,0,0,0,0,4,45,5,Saturday,True,0,1,Idle Period
2025-11-01 04:50:00,0,0,0,0,0,0,0,4,50,5,Saturday,True,0,1,Idle Period
2025-11-01 04:55:00,0,0,0,0,0,0,0,4,55,5,Saturday,True,0,1,Idle Period
2025-11-01 05:00:00,0,0,0,0,0,0,0,5,0,5,Saturday,True,0,1,Idle Period
2025-11-01 05:05:00,0,0,0,0,0,0,0,5,5,5,Saturday,True,0,1,Idle Period
2025-11-01 05:10:00,0,0,0,0,0,0,0,5,10,5,Saturday,True,0,1,Idle Period
2025-11-01 05:15:00,6,0,7,6,9,7,0,5,15,5,Saturday,True,13,1,Idle Period
2025-11-01 05:20:00,3,0,2,3,2,8,0,5,20,5,Saturday,True,5,1,Idle Period
2025-11-01 05:25:00,0,0,0,0,0,0,0,5,25,5,Saturday,True,0,1,Idle Period
2025-11-01 05:30:00,0,0,0,0,0,0,0,5,30,5,Saturday,True,0,1,Idle Period
2025-11-01 05:35:00,0,0,0,0,0,0,0,5,35,5,Saturday,True,0,1,Idle Period
2025-11-01 05:40:00,0,0,0,0,0,0,0,5,40,5,Saturday,True,0,1,Idle Period
2025-11-01 05:45:00,0,0,0,0,0,0,0,5,45,5,Saturday,True,0,1,Idle Period
2025-11-01 05:50:00,0,0,0,0,0,0,0,5,50,5,Saturday,True,0,1,Idle Period
2025-11-01 05:55:00,0,0,0,0,0,0,0,5,55,5,Saturday,True,0,1,Idle Period
2025-11-01 06:00:00,0,1,1,1,2,2,0,6,0,5,Saturday,True,2,1,Idle Period
2025-11-01 06:05:00,0,0,0,0,0,0,0,6,5,5,Saturday,True,0,1,Idle Period
2025-11-01 06:10:00,0,0,0,0,0,0,0,6,10,5,Saturday,True,0,1,Idle Period
2025-11-01 06:15:00,0,0,0,0,0,0,0,6,15,5,Saturday,True,0,1,Idle Period
2025-11-01 06:20:00,0,0,0,0,0,0,0,6,20,5,Saturday,True,0,1,Idle Period
2025-11-01 06:25:00,0,0,0,0,0,0,0,6,25,5,Saturday,True,0,1,Idle Period
2025-11-01 06:30:00,0,0,0,0,0,0,0,6,30,5,Saturday,True,0,1,Idle Period
2025-11-01 06:35:00,0,0,0,0,0,0,0,6,35,5,Saturday,True,0,1,Idle Period
2025-11-01 06:40:00,1,0,1,1,1,2,0,6,40,5,Saturday,True,2,1,Idle Period
2025-11-01 06:45:00,0,0,0,0,0,0,0,6,45,5,Saturday,True,0,1,Idle Period
2025-11-01 06:50:00,0,0,0,0,0,0,0,6,50,5,Saturday,True,0,1,Idle Period
2025-11-01 06:55:00,1,0,2,1,0,2,0,6,55,5,Saturday,True,3,1,Idle Period
2025-11-01 07:00:00,0,0,0,1,2,2,0,7,0,5,Saturday,True,0,1,Idle Period
2025-11-01 07:05:00,0,0,0,0,0,0,0,7,5,5,Saturday,True,0,1,Idle Period
2025-11-01 07:10:00,0,0,0,0,0,0,0,7,10,5,Saturday,True,0,1,Idle Period
2025-11-01 07:15:00,0,0,0,0,0,0,0,7,15,5,Saturday,True,0,1,Idle Period
2025-11-01 07:20:00,0,0,0,0,0,0,0,7,20,5,Saturday,True,0,1,Idle Period
2025-11-01 07:25:00,1,0,1,3,3,2,0,7,25,5,Saturday,True,2,1,Idle Period
2025-11-01 07:30:00,4,0,5,3,3,7,0,7,30,5,Saturday,True,9,1,Idle Period
2025-11-01 07:35:00,5,0,5,2,5,10,0,7,35,5,Saturday,True,10,1,Idle Period
2025-11-01 07:40:00,8,0,7,5,7,12,0,7,40,5,Saturday,True,15,1,Idle Period
2025-11-01 07:45:00,8,1,13,7,11,20,0,7,45,5,Saturday,True,22,1,Idle Period
2025-11-01 07:50:00,4,0,4,5,6,9,0,7,50,5,Saturday,True,8,1,Idle Period
2025-11-01 07:55:00,3,0,4,1,1,6,0,7,55,5,Saturday,True,7,1,Idle Period
2025-11-01 08:00:00,0,1,1,1,2,2,0,8,0,5,Saturday,True,2,1,Idle Period
2025-11-01 08:05:00,3,0,4,7,6,7,0,8,5,5,Saturday,True,7,1,Idle Period
2025-11-01 08:10:00,0,1,1,1,1,2,0,8,10,5,Saturday,True,2,1,Idle Period
2025-11-01 08:15:00,0,1,1,1,1,2,0,8,15,5,Saturday,True,2,1,Idle Period
2025-11-01 08:20:00,0,0,0,0,0,0,0,8,20,5,Saturday,True,0,1,Idle Period
2025-11-01 08:25:00,0,2,2,2,1,4,0,8,25,5,Saturday,True,4,1,Idle Period
2025-11-01 08:30:00,2,1,3,3,3,3,0,8,30,5,Saturday,True,6,1,Idle Period
2025-11-01 08:35:00,1,1,2,5,6,5,0,8,35,5,Saturday,True,4,1,Idle Period
2025-11-01 08:40:00,0,2,2,4,4,4,0,8,40,5,Saturday,True,4,1,Idle Period
2025-11-01 08:45:00,3,1,4,4,4,4,0,8,45,5,Saturday,True,8,1,Idle Period
2025-11-01 08:50:00,1,3,3,6,5,9,0,8,50,5,Saturday,True,7,1,Idle Period
2025-11-01 08:55:00,0,1,1,1,1,1,0,8,55,5,Saturday,True,2,1,Idle Period
2025-11-01 09:00:00,1,1,2,3,4,4,0,9,0,5,Saturday,True,4,1,Idle Period
2025-11-01 09:05:00,0,0,0,0,0,0,0,9,5,5,Saturday,True,0,1,Idle Period
2025-11-01 09:10:00,3,0,3,7,7,5,0,9,10,5,Saturday,True,6,1,Idle Period
2025-11-01 09:15:00,1,4,6,7,6,10,0,9,15,5,Saturday,True,11,1,Idle Period
2025-11-01 09:20:00,3,4,7,3,5,8,0,9,20,5,Saturday,True,14,1,Idle Period
2025-11-01 09:25:00,0,3,6,11,9,9,0,9,25,5,Saturday,True,9,1,Idle Period
2025-11-01 09:30:00,2,1,3,9,10,5,0,9,30,5,Saturday,True,6,2,Morning Peak
2025-11-01 09:35:00,2,1,3,11,8,4,0,9,35,5,Saturday,True,6,2,Morning Peak
2025-11-01 09:40:00,1,0,1,0,3,2,0,9,40,5,Saturday,True,2,2,Morning Peak
2025-11-01 09:45:00,1,1,2,4,5,3,0,9,45,5,Saturday,True,4,2,Morning Peak
2025-11-01 09:50:00,2,2,3,7,5,4,0,9,50,5,Saturday,True,7,2,Morning Peak
2025-11-01 09:55:00,5,5,9,11,11,19,0,9,55,5,Saturday,True,19,2,Morning Peak
2025-11-01 10:00:00,6,3,3,7,8,11,0,10,0,5,Saturday,True,12,2,Morning Peak
2025-11-01 10:05:00,3,1,2,4,4,5,0,10,5,5,Saturday,True,6,2,Morning Peak
2025-11-01 10:10:00,3,0,2,7,7,4,0,10,10,5,Saturday,True,5,2,Morning Peak
2025-11-01 10:15:00,2,0,1,1,1,2,0,10,15,5,Saturday,True,3,2,Morning Peak
2025-11-01 10:20:00,1,1,1,1,0,1,0,10,20,5,Saturday,True,3,2,Morning Peak
2025-11-01 10:25:00,6,3,5,7,6,10,0,10,25,5,Saturday,True,14,2,Morning Peak
2025-11-01 10:30:00,8,1,5,8,7,10,0,10,30,5,Saturday,True,14,2,Morning Peak
2025-11-01 10:35:00,8,2,3,7,4,11,0,10,35,5,Saturday,True,13,2,Morning Peak
2025-11-01 10:40:00,4,2,2,4,7,7,0,10,40,5,Saturday,True,8,2,Morning Peak
2025-11-01 10:45:00,5,2,3,9,8,9,0,10,45,5,Saturday,True,10,2,Morning Peak
2025-11-01 10:50:00,3,1,2,3,2,3,0,10,50,5,Saturday,True,6,2,Morning Peak
2025-11-01 10:55:00,5,1,2,2,3,6,0,10,55,5,Saturday,True,8,2,Morning Peak
2025-11-01 11:00:00,0,1,1,1,1,3,0,11,0,5,Saturday,True,2,1,Idle Period
2025-11-01 11:05:00,1,1,2,2,2,4,0,11,5,5,Saturday,True,4,1,Idle Period
2025-11-01 11:10:00,0,1,1,1,1,2,0,11,10,5,Saturday,True,2,1,Idle Period
2025-11-01 11:15:00,1,1,2,2,2,3,0,11,15,5,Saturday,True,4,1,Idle Period
2025-11-01 11:20:00,0,1,1,3,3,2,0,11,20,5,Saturday,True,2,1,Idle Period
2025-11-01 11:25:00,1,3,4,11,5,8,0,11,25,5,Saturday,True,8,1,Idle Period
2025-11-01 11:30:00,0,2,2,5,11,4,0,11,30,5,Saturday,True,4,3,Lunch Peak
2025-11-01 11:35:00,0,2,2,1,0,3,0,11,35,5,Saturday,True,4,3,Lunch Peak
2025-11-01 11:40:00,0,1,1,3,4,6,0,11,40,5,Saturday,True,2,3,Lunch Peak
2025-11-01 11:45:00,2,0,1,1,1,3,0,11,45,5,Saturday,True,3,3,Lunch Peak
2025-11-01 11:50:00,0,0,0,0,0,0,0,11,50,5,Saturday,True,0,3,Lunch Peak
2025-11-01 11:55:00,0,2,2,1,1,3,0,11,55,5,Saturday,True,4,3,Lunch Peak
2025-11-01 12:00:00,0,2,2,4,2,6,0,12,0,5,Saturday,True,4,3,Lunch Peak
2025-11-01 12:05:00,0,0,0,0,1,0,0,12,5,5,Saturday,True,0,3,Lunch Peak
2025-11-01 12:10:00,0,2,2,3,2,5,0,12,10,5,Saturday,True,4,3,Lunch Peak
2025-11-01 12:15:00,4,0,3,7,5,7,0,12,15,5,Saturday,True,7,3,Lunch Peak
2025-11-01 12:20:00,0,0,0,0,0,0,0,12,20,5,Saturday,True,0,3,Lunch Peak
2025-11-01 12:25:00,0,0,0,0,0,0,0,12,25,5,Saturday,True,0,3,Lunch Peak
2025-11-01 12:30:00,0,1,0,0,0,0,0,12,30,5,Saturday,True,1,3,Lunch Peak
2025-11-01 12:35:00,2,1,3,5,3,6,0,12,35,5,Saturday,True,6,3,Lunch Peak
2025-11-01 12:40:00,1,0,1,1,1,2,0,12,40,5,Saturday,True,2,3,Lunch Peak
2025-11-01 12:45:00,2,0,1,2,2,3,0,12,45,5,Saturday,True,3,3,Lunch Peak
2025-11-01 12:50:00,1,0,1,1,1,2,0,12,50,5,Saturday,True,2,3,Lunch Peak
2025-11-01 12:55:00,0,1,1,4,4,2,0,12,55,5,Saturday,True,2,3,Lunch Peak
2025-11-01 13:00:00,2,0,2,5,4,4,0,13,0,5,Saturday,True,4,3,Lunch Peak
2025-11-01 13:05:00,0,2,2,4,4,4,0,13,5,5,Saturday,True,4,3,Lunch Peak
2025-11-01 13:10:00,1,2,3,5,5,6,0,13,10,5,Saturday,True,6,3,Lunch Peak
2025-11-01 13:15:00,2,0,2,4,4,4,0,13,15,5,Saturday,True,4,3,Lunch Peak
2025-11-01 13:20:00,3,2,4,9,8,8,0,13,20,5,Saturday,True,9,3,Lunch Peak
2025-11-01 13:25:00,1,2,3,3,3,5,0,13,25,5,Saturday,True,6,3,Lunch Peak
2025-11-01 13:30:00,1,2,3,5,3,6,0,13,30,5,Saturday,True,6,3,Lunch Peak
2025-11-01 13:35:00,8,1,5,9,11,10,0,13,35,5,Saturday,True,14,3,Lunch Peak
2025-11-01 13:40:00,3,5,4,9,9,8,0,13,40,5,Saturday,True,12,3,Lunch Peak
2025-11-01 13:45:00,9,3,8,11,9,15,0,13,45,5,Saturday,True,20,3,Lunch Peak
2025-11-01 13:50:00,5,1,3,4,6,6,0,13,50,5,Saturday,True,9,3,Lunch Peak
2025-11-01 13:55:00,13,3,8,13,14,17,0,13,55,5,Saturday,True,24,3,Lunch Peak
2025-11-01 14:00:00,2,1,1,3,3,4,3,14,0,5,Saturday,True,4,3,Lunch Peak
2025-11-01 14:05:00,4,2,4,8,6,7,0,14,5,5,Saturday,True,10,3,Lunch Peak
2025-11-01 14:10:00,1,0,0,1,2,2,0,14,10,5,Saturday,True,1,3,Lunch Peak
2025-11-01 14:15:00,4,3,4,4,4,8,0,14,15,5,Saturday,True,11,3,Lunch Peak
2025-11-01 14:20:00,4,2,4,6,5,7,0,14,20,5,Saturday,True,10,3,Lunch Peak
2025-11-01 14:25:00,1,1,2,2,1,4,0,14,25,5,Saturday,True,4,3,Lunch Peak
2025-11-01 14:30:00,1,1,1,4,5,2,0,14,30,5,Saturday,True,3,1,Idle Period
2025-11-01 14:35:00,0,1,2,1,2,4,3,14,35,5,Saturday,True,3,1,Idle Period
2025-11-01 14:40:00,1,0,1,1,0,1,0,14,40,5,Saturday,True,2,1,Idle Period
2025-11-01 14:45:00,0,1,1,1,1,2,0,14,45,5,Saturday,True,2,1,Idle Period
2025-11-01 14:50:00,1,0,2,10,9,3,0,14,50,5,Saturday,True,3,1,Idle Period
2025-11-01 14:55:00,0,0,0,0,0,0,0,14,55,5,Saturday,True,0,1,Idle Period
2025-11-01 15:00:00,1,2,4,4,4,5,0,15,0,5,Saturday,True,7,1,Idle Period
2025-11-01 15:05:00,1,0,1,4,5,3,0,15,5,5,Saturday,True,2,1,Idle Period
2025-11-01 15:10:00,0,0,0,0,0,0,0,15,10,5,Saturday,True,0,1,Idle Period
2025-11-01 15:15:00,0,1,1,1,0,1,0,15,15,5,Saturday,True,2,1,Idle Period
2025-11-01 15:20:00,0,0,0,0,2,1,0,15,20,5,Saturday,True,0,1,Idle Period
2025-11-01 15:25:00,0,0,0,0,0,0,0,15,25,5,Saturday,True,0,1,Idle Period
2025-11-01 15:30:00,1,2,3,5,4,5,0,15,30,5,Saturday,True,6,1,Idle Period
2025-11-01 15:35:00,3,2,5,10,5,8,0,15,35,5,Saturday,True,10,1,Idle Period
2025-11-01 15:40:00,0,1,1,2,4,2,0,15,40,5,Saturday,True,2,1,Idle Period
2025-11-01 15:45:00,1,1,2,4,4,3,0,15,45,5,Saturday,True,4,1,Idle Period
2025-11-01 15:50:00,3,1,5,5,4,6,0,15,50,5,Saturday,True,9,1,Idle Period
2025-11-01 15:55:00,1,2,3,9,10,8,0,15,55,5,Saturday,True,6,1,Idle Period
2025-11-01 16:00:00,3,0,3,8,7,6,0,16,0,5,Saturday,True,6,1,Idle Period
2025-11-01 16:05:00,7,1,6,12,11,11,0,16,5,5,Saturday,True,14,1,Idle Period
2025-11-01 16:10:00,1,3,3,6,7,6,0,16,10,5,Saturday,True,7,1,Idle Period
2025-11-01 16:15:00,1,0,1,2,1,2,0,16,15,5,Saturday,True,2,1,Idle Period
2025-11-01 16:20:00,4,0,6,3,3,7,0,16,20,5,Saturday,True,10,1,Idle Period
