Time,Elevator ID,Mode,Action
2025/11/1 14:00,D,Maintenance Light,Enter
2025/11/1 14:00,C,Maintenance Light,Enter
2025/11/1 14:01,B,Maintenance Light,Enter
2025/11/1 14:23,B,Maintenance Light,Exit
2025/11/1 14:23,C,Maintenance Light,Exit
2025/11/1 14:23,D,Maintenance Light,Exit
2025/11/1 14:35,B,Maintenance Light,Enter
2025/11/1 14:35,C,Maintenance Light,Enter
2025/11/1 14:35,D,Maintenance Light,Enter
2025/11/2 10:56,G,Maintenance Light,Enter
2025/11/2 10:57,H,Maintenance Light,Enter
2025/11/2 10:58,I,Maintenance Light,Enter
2025/11/2 10:58,A,Maintenance Light,Enter
2025/11/2 18:17,D,Maintenance Light,Exit
2025/11/2 18:18,C,Maintenance Light,Exit
2025/11/2 18:18,B,Maintenance Light,Exit
2025/11/2 18:27,G,Maintenance Light,Exit
2025/11/2 18:28,H,Maintenance Light,Exit
2025/11/2 18:30,I,Maintenance Light,Exit
2025/11/2 18:33,A,Maintenance Light,Exit
2025/11/5 14:02,I,Maintenance Light,Enter
2025/11/5 14:08,I,Maintenance Light,Exit
2025/11/5 14:34,I,Maintenance Light,Enter
2025/11/5 14:36,I,Maintenance Light,Exit
2025/11/5 14:50,I,Maintenance Light,Enter
2025/11/5 14:51,I,Maintenance Light,Exit
2025/11/5 21:48,A,Maintenance Light,Enter
2025/11/5 22:00,A,Maintenance Light,Exit
2025/11/5 22:00,A,Maintenance Light,Enter
2025/11/5 22:01,A,Maintenance Light,Exit
2025/11/5 22:01,A,Maintenance Light,Enter
2025/11/5 22:13,A,Maintenance Light,Exit
2025/11/5 22:22,A,Maintenance Light,Enter
2025/11/5 22:24,A,Maintenance Light,Exit
2025/11/5 22:24,A,Maintenance Light,Enter
2025/11/5 22:25,A,Maintenance Light,Exit
2025/11/5 22:34,A,Maintenance Light,Enter
2025/11/5 22:46,A,Maintenance Light,Exit
2025/11/9 13:28,H,Maintenance Light,Enter
2025/11/9 18:17,H,Maintenance Light,Exit
2025/11/9 18:18,C,Maintenance Light,Enter
2025/11/9 18:18,C,Maintenance Light,Exit
2025/11/9 18:18,C,Maintenance Light,Enter
2025/11/9 18:46,C,Maintenance Light,Exit
2025/11/10 20:26,D,Maintenance Light,Enter
2025/11/10 20:37,D,Maintenance Light,Exit
2025/11/13 11:38,B,Maintenance Light,Enter
2025/11/13 12:02,B,Maintenance Light,Exit
2025/11/13 12:08,F,Maintenance Light,Enter
2025/11/13 12:15,F,Maintenance Light,Exit
2025/11/13 12:24,F,Maintenance Light,Enter
2025/11/13 12:25,F,Maintenance Light,Exit
2025/11/16 18:48,F,Maintenance Light,Enter
2025/11/16 19:20,D,Maintenance Light,Enter
2025/11/16 19:21,C,Maintenance Light,Enter
2025/11/16 19:22,B,Maintenance Light,Enter
2025/11/16 19:36,A,Maintenance Light,Enter
2025/11/16 19:38,G,Maintenance Light,Enter
2025/11/16 20:43,F,Maintenance Light,Exit
2025/11/16 20:44,G,Maintenance Light,Exit
2025/11/16 20:44,H,Maintenance Light,Enter
2025/11/16 20:46,I,Maintenance Light,Enter
2025/11/16 21:22,B,Maintenance Light,Exit
2025/11/16 21:22,B,Maintenance Light,Enter
2025/11/16 21:23,A,Maintenance Light,Exit
2025/11/16 21:23,A,Maintenance Light,Enter
2025/11/16 21:24,A,Maintenance Light,Exit
2025/11/16 21:24,A,Maintenance Light,Enter
2025/11/16 21:24,A,Maintenance Light,Exit
2025/11/16 21:26,A,Maintenance Light,Enter
2025/11/16 21:26,A,Maintenance Light,Exit
2025/11/16 21:27,B,Maintenance Light,Exit
2025/11/16 21:31,D,Maintenance Light,Exit
2025/11/16 21:51,I,Maintenance Light,Exit
2025/11/16 21:54,H,Maintenance Light,Exit
2025/11/16 21:55,G,Maintenance Light,Enter
2025/11/16 21:56,F,Maintenance Light,Enter
2025/11/16 22:02,G,Maintenance Light,Exit
2025/11/16 22:04,G,Maintenance Light,Enter
2025/11/16 22:05,G,Maintenance Light,Exit
2025/11/16 22:05,G,Maintenance Light,Enter
2025/11/16 22:21,G,Maintenance Light,Exit
2025/11/16 22:23,F,Maintenance Light,Exit
2025/11/16 22:24,F,Maintenance Light,Enter
2025/11/16 22:25,F,Maintenance Light,Exit
2025/11/16 22:38,C,Maintenance Light,Exit
2025/11/16 22:41,D,Maintenance Light,Enter
2025/11/16 22:41,I,Maintenance Light,Enter
2025/11/17 14:44,I,Maintenance Light,Exit
2025/11/17 14:45,D,Maintenance Light,Exit
2025/11/17 14:49,A,Maintenance Light,Enter
2025/11/20 6:14,A,Maintenance Light,Enter
2025/11/21 21:21,A,Maintenance Light,Exit
2025/11/21 21:21,A,Maintenance Light,Enter
2025/11/24 13:05,D,Maintenance Light,Enter
2025/11/24 13:12,D,Maintenance Light,Exit
2025/11/25 2:54,A,Maintenance Light,Enter
2025/11/26 13:47,H,Maintenance Light,Enter
2025/11/26 14:03,H,Maintenance Light,Exit
2025/11/26 14:03,H,Maintenance Light,Enter
2025/11/26 14:03,H,Maintenance Light,Exit
2025/11/26 14:04,H,Maintenance Light,Enter
2025/11/26 15:31,H,Maintenance Light,Exit
2025/11/28 15:27,I,Maintenance Light,Enter
2025/11/28 15:33,I,Maintenance Light,Exit
2025/11/28 15:36,F,Maintenance Light,Enter
2025/11/28 15:41,F,Maintenance Light,Exit
2025/11/28 15:49,F,Maintenance Light,Enter
2025/11/28 16:01,F,Maintenance Light,Exit
2025/11/28 18:05,F,Maintenance Light,Enter
2025/11/28 18:06,F,Maintenance Light,Exit
2025/11/28 18:12,F,Maintenance Light,Enter
2025/11/28 18:13,F,Maintenance Light,Exit
2025/11/28 18:13,F,Maintenance Light,Enter
2025/11/28 18:14,F,Maintenance Light,Exit
2025/11/29 22:21,A,Maintenance Light,Enter
2025/11/30 16:10,H,Maintenance Light,Enter
2025/11/30 16:10,G,Maintenance Light,Enter
2025/11/30 16:28,H,Maintenance Light,Exit
2025/11/30 16:29,H,Maintenance Light,Enter
2025/11/30 16:29,H,Maintenance Light,Exit
2025/11/30 16:30,H,Maintenance Light,Enter
2025/11/30 16:31,H,Maintenance Light,Exit
2025/11/30 16:32,I,Maintenance Light,Enter
2025/11/30 16:33,I,Maintenance Light,Exit
2025/11/30 16:33,I,Maintenance Light,Enter
2025/11/30 16:34,G,Maintenance Light,Exit
2025/11/30 16:36,F,Maintenance Light,Enter
2025/11/30 16:37,F,Maintenance Light,Exit
2025/11/30 16:38,F,Maintenance Light,Enter
2025/11/30 17:00,F,Maintenance Light,Exit
2025/11/30 17:03,C,Maintenance Light,Enter
2025/11/30 17:04,C,Maintenance Light,Exit
2025/11/30 17:05,C,Maintenance Light,Enter
2025/11/30 17:11,I,Maintenance Light,Exit
2025/11/30 17:14,D,Maintenance Light,Enter
2025/11/30 17:23,C,Maintenance Light,Exit
2025/11/30 17:45,D,Maintenance Light,Exit
2025/11/30 17:45,D,Maintenance Light,Enter
2025/11/30 17:46,D,Maintenance Light,Exit
2025/11/30 18:16,A,Maintenance Light,Exit
2025/11/30 18:18,A,Maintenance Light,Enter
2025/11/30 18:53,D,Maintenance Light,Enter
2025/11/30 18:53,D,Maintenance Light,Exit
2025/11/30 18:53,D,Maintenance Light,Enter
2025/11/30 18:57,A,Maintenance Light,Exit
2025/11/30 18:58,A,Maintenance Light,Enter
2025/11/30 19:01,A,Maintenance Light,Exit
2025/11/30 19:02,A,Maintenance Light,Enter
2025/11/30 19:02,A,Maintenance Light,Exit
2025/11/30 19:03,A,Maintenance Light,Enter
2025/11/30 19:04,C,Maintenance Light,Enter
2025/11/30 19:09,A,Maintenance Light,Exit
2025/11/30 19:40,D,Maintenance Light,Exit
2025/11/30 19:41,D,Maintenance Light,Enter
2025/11/30 19:52,D,Maintenance Light,Exit
2025/11/30 20:15,C,Maintenance Light,Exit
2025/11/30 20:16,C,Maintenance Light,Enter
2025/11/30 20:21,C,Maintenance Light,Exit
2025/11/30 20:26,G,Maintenance Light,Enter
2025/11/30 20:33,G,Maintenance Light,Exit
